Name,Type,Classification,Res_Inf,Prerequisites,Subtitle,Quantity,Source,Rules Text,Flavour Text,Notes,Aliases
Dreadnought II,Unit Upgrade,,,<:TechPropulsion:786336467832012821><:TechPropulsion:786336467832012821><:TechCybernetic:786336610014724127>,,,Twilight Imperium 4,"**Cost: 4, Combat: 5, Move: 2, Capacity: 1**|This unit cannot be destroyed by ""Direct Hit"" action cards.|_Sustain Damage_, _Bombardment 5_",,,"dread ii, dread 2, dreadnought 2"
Duranium Armor,<:TechWarfare:786336653085376558>,,,<:TechWarfare:786336653085376558><:TechWarfare:786336653085376558>,,,Twilight Imperium 4,"During each combat round, after you assign hits to your units, repair 1 of your damaged units that did not use _Sustain Damage_ during this combat round.",,"Applies only after the ""Assign Hits"" step",
E-res Siphons,<:JolNarFlag:799976866643050506> Jol-Nar Faction Tech - <:TechCybernetic:786336610014724127>,,,<:TechCybernetic:786336610014724127><:TechCybernetic:786336610014724127>,,,Twilight Imperium 4,"After another player activates a system that contains 1 or more of your ships, gain 4 trade goods.",,,"eres siphons, eres, e res, e res siphons"
Executive Order,<:IceCream:979231952030793828> Keleres Faction Tech - <:TechCybernetic:786336610014724127>,,,<:TechCybernetic:786336610014724127>,,,Thunder's Edge,**Action:** Exhaust this card and draw the top or bottom card of the agenda deck. Players immediately vote on this agenda as if you were the speaker; you can spend trade goods and resources on this agenda as if they were votes.,,Replaced IIHQ Modernization in Thunder's Edge,
Exile II,<:crimson:1433515401139978250> Rebellion Faction Tech - Unit Upgrade,,,<:TechWarfare:786336653085376558><:TechWarfare:786336653085376558>,,,Thunder's Edge,"**Cost: 1, Combat: 7, Move: 2**|At the end of any player's combat in this unit's system or up to 2 systems away, you may place 1 active or inactive breach in that system.|_Anti-Fighter Barrage 6 (x3)_",,,
Exotrireme II,<:SardakkNorrPizzaBoyFlag:799977732058382336> N'orr Faction Tech - Unit Upgrade,,,<:TechPropulsion:786336467832012821><:TechPropulsion:786336467832012821><:TechCybernetic:786336610014724127>,,,Twilight Imperium 4,"**Cost: 4, Combat: 5, Move: 2, Capacity: 1**|This unit cannot be destroyed by ""Direct Hit"" action cards. After a round of space combat, you may destroy this unit to destroy up to 2 ships in this system.|_Sustain Damage_, _Bombardment 4 (x2)_",,,"exo 2, exo ii, exotrireme 2"
Fighter II,Unit Upgrade,,,<:TechBiotic:786336544393920582><:TechPropulsion:786336467832012821>,,,Twilight Imperium 4,"**Cost: 1 (x2), Combat: 8, Move: 2**|This unit may move without being transported. Fighters in excess of your ships' capacity count against your fleet pool.",,,fighter 2
Fleet Logistics,<:TechPropulsion:786336467832012821>,,,<:TechPropulsion:786336467832012821><:TechPropulsion:786336467832012821>,,,Twilight Imperium 4,"During each of your turns during the action phase, you may perform 2 actions instead of 1.",,,fl
Floating Factory II,<:SaarFlag:799977657303302154> Saar Faction Tech - Unit Upgrade,,,<:TechCybernetic:786336610014724127><:TechCybernetic:786336610014724127>,,,Twilight Imperium 4,"**Move: 2, Capacity: 5**|This unit is placed in a space area instead of on a planet. This unit can move and retreat as if it were a ship. If this unit is blockaded, it is destroyed.|_Production 7_",,,"ff2, floating factory 2"
Genetic Recombination,<:MahactFlag:799977081857507338> Mahact Faction Tech - <:TechBiotic:786336544393920582>,,,<:TechBiotic:786336544393920582>,,,Prophecy of Kings,You may exhaust this card before a player casts votes; that player must cast at least 1 vote for an outcome of your choice or remove 1 token from their fleet pool and return it to their reinforcements.,,,
Graviton Laser System,<:TechCybernetic:786336610014724127>,,,<:TechCybernetic:786336610014724127>,,,Twilight Imperium 4,You may exhaust this card before 1 or more of your units use _Space Cannon_; hits produced by those units must be assigned to non-fighter ships if able.,,,gls
Gravity Drive,<:TechPropulsion:786336467832012821>,,,<:TechPropulsion:786336467832012821>,,,Twilight Imperium 4,"After you activate a system, apply +1 to the move value of 1 of your ships during this tactical action.",,,grav drive
Hegemonic Trade Policy,<:WinnuFlag:799978013756358707> Winnu Faction Tech - <:TechCybernetic:786336610014724127>,,,<:TechCybernetic:786336610014724127><:TechCybernetic:786336610014724127>,,,Twilight Imperium 4,Exhaust this card when 1 or more of your units use _Production_; swap the resource and influence values of 1 planet you control during that use of _Production_.,,Errata in LRR 1.2,htp
Hel-Titan II,<:UlFlag:799977899624235008> Ul Faction Tech - Unit Upgrade,,,<:TechCybernetic:786336610014724127><:TechWarfare:786336653085376558>,,,Prophecy of Kings,"**Combat: 6**|This unit is treated as both a structure and a ground force. It cannot be transported. You may use this unit's _Space Cannon_ against ships that are adjacent to this unit's systems.|_Planetary Shield_, _Space Cannon 5_, _Sustain Damage_, _Production 1_",,,"hel-titan 2, hel titan ii, hel titan 2"
Hybrid Crystal Fighter II,<:NaaluFlag:799977317937446953> Naalu Faction Tech - Unit Upgrade,,,<:TechBiotic:786336544393920582><:TechPropulsion:786336467832012821>,,,Twilight Imperium 4,"**Cost: 1 (x2), Combat: 7, Move: 2**|This unit may move without being transported. Each fighter in excess of your ships' capacity counts as 1/2 of a ship against your fleet pool.",,,"hcf 2, hcf ii"
Hydrothermal Mining,<:deepwrought:1433537768541130773> Deepwrought Faction Tech - <:TechBiotic:786336544393920582>,,,<:TechBiotic:786336544393920582>,,,Thunder's Edge,"At the start of the status phase, gain 1 trade good for each ocean card in play.",,,
Hyper Metabolism,<:TechBiotic:786336544393920582>,,,<:TechBiotic:786336544393920582><:TechBiotic:786336544393920582>,,,Twilight Imperium 4,"During the status phase, gain 3 command tokens instead of 2.",,Errata in LRR 1.2,
Impulse Core,<:YinFlag:799978188410322967> Yin Faction Tech - <:TechCybernetic:786336610014724127>,,,<:TechCybernetic:786336610014724127><:TechCybernetic:786336610014724127>,,,Twilight Imperium 4,"At the start of a space combat, you may destroy 1 of your cruisers or destroyers in the active system to produce 1 hit against your opponent's ships; that hit must be assigned by your opponent to 1 of their non-fighter ships if able.",,,
Infantry II,Unit Upgrade,,,<:TechBiotic:786336544393920582><:TechBiotic:786336544393920582>,,,Twilight Imperium 4,"**Cost: 1 (x2), Combat: 7**|After this unit is destroyed, roll 1 die. If the result is 6 or greater, place the unit on this card. At the start of the next turn, place each unit that is on this card on a planet you control in your home system.",,"If you do not control a planet in your home system at the start of your next turn, the unit is returned to your reinforcements.",infantry 2
Inheritance Systems,<:L1Z1XFL4G:799976965813698600> L1Z1X Faction Tech - <:TechCybernetic:786336610014724127>,,,<:TechCybernetic:786336610014724127><:TechCybernetic:786336610014724127>,,,Twilight Imperium 4,You may exhaust this card and spend 2 resources when you research a technology;ignore all of that technology's prerequisites.,,,is
Instinct Training,<:XxchaFlag:799978104940003328> Xxcha Faction Tech - <:TechBiotic:786336544393920582>,,,<:TechBiotic:786336544393920582>,,,Twilight Imperium 4,You may exhaust this card and spend 1 token from your strategy pool when another player plays an action card; cancel that action card.,,,
Integrated Economy,<:TechCybernetic:786336610014724127>,,,<:TechCybernetic:786336610014724127><:TechCybernetic:786336610014724127><:TechCybernetic:786336610014724127>,,,Twilight Imperium 4,"After you gain control of a planet, you may produce any number of units on that planet that have a combined cost equal to or less than that planet's resource value.",,,ie
L4 Disruptors,<:LetnevFlag:799976459325407243> Barony Faction Tech - <:TechCybernetic:786336610014724127>,,,<:TechCybernetic:786336610014724127>,,,Twilight Imperium 4,"During an invasion, units cannot use _Space Cannon_ against your units.",,,
Lazax Gate Folding,<:WinnuFlag:799978013756358707> Winnu Faction Tech - <:TechPropulsion:786336467832012821>,,,<:TechPropulsion:786336467832012821><:TechPropulsion:786336467832012821>,,,Twilight Imperium 4,"During your tactical actions, if you do not control Mecatol Rex, treat its system as if it contains both an alpha and a beta wormhole.|**Action**: If you control Mecatol Rex, you may exhaust this card to place 1 infantry from your reinforcements on Mecatol Rex.",,,lgf
Letani Warrior II,<:ArborecFlag:799976271564111933> Arborec Faction Tech - Unit Upgrade,,,<:TechBiotic:786336544393920582><:TechBiotic:786336544393920582>,,,Twilight Imperium 4,"**Cost: 1 (x2), Combat: 7**|After this unit is destroyed, roll 1 die. If the result is 6 or greater, place the unit on this card. At the start of the next turn, place each unit that is on this card on a planet you control in your home system.|_Production 2_",,"If you do not control a planet in your home system at the start of your next turn, the unit is returned to your reinforcements.","letani ii, letani 2"
Light/Wave Deflector,<:TechPropulsion:786336467832012821>,,,<:TechPropulsion:786336467832012821><:TechPropulsion:786336467832012821><:TechPropulsion:786336467832012821>,,,Twilight Imperium 4,Your ships can move through systems that contain other players' ships.,,,"lwd, light wave deflector"
Linkship II,<:ralnel:1433515089646059581> Ral Nel Faction Tech - Unit Upgrade,,,<:TechWarfare:786336653085376558><:TechWarfare:786336653085376558>,,,Thunder's Edge,"**Cost: 1, Combat: 8, Move: 4**|This unit can use the _Space Cannon_ ability of one of your structures in its space area; each linkship can trigger the same structure.|_Anti-Fighter Barrage 6 (x3)_",,,
Magen Defense Grid,<:TechWarfare:786336653085376558>,,,<:TechWarfare:786336653085376558>,,,Thunder's Edge,"When any player activates a system that contains 1 or more of your structures, place 1 infantry from your reinforcements with each of those structures.|At the start of ground combat on a planet that contains 1 or more of your structures, produce 1 hit and assign it to 1 of your opponent's ground forces.",,Given an Omega in Codex 1 and changed again in Thunder's Edge.,
Mageon Implants,<:YssarilFlag:799978263409459200> Yssaril Faction Tech - <:TechBiotic:786336544393920582>,,,<:TechBiotic:786336544393920582><:TechBiotic:786336544393920582><:TechBiotic:786336544393920582>,,,Twilight Imperium 4,**Action:** Exhaust this card to look at another player's hand of action cards. Choose 1 of those cards and add it to your hand.,,,
Magmus Reactor,<:MuaatFlag:799977247501975619> Muaat Faction Tech - <:TechWarfare:786336653085376558>,,,<:TechWarfare:786336653085376558><:TechWarfare:786336653085376558>,,,Codex 1: Ordinian,Your ships can move into supernovas.|Each supernova that contains 1 or more of your units gains the _Production 5_ ability as if it were 1 of your units.,,,
Memoria II,<:NomadFlag:799977591380901888> Nomad Faction Tech - Unit Upgrade,,,<:TechBiotic:786336544393920582><:TechPropulsion:786336467832012821><:TechCybernetic:786336610014724127>,,,Prophecy of Kings,"**Cost: 8, Combat: 5 (x2), Move: 2, Capacity: 6**|You may treat this unit as if it were adjacent to systems that contain 1 or more of your mechs.| _Sustain Damage_, _Anti-Fighter Barrage 5 (x3)_",,,memoria 2
Mirror Computing,<:MentakFlag:799977177000574986> Mentak Faction Tech - <:TechCybernetic:786336610014724127>,,,<:TechCybernetic:786336610014724127><:TechCybernetic:786336610014724127><:TechCybernetic:786336610014724127>,,,Twilight Imperium 4,"When you spend trade goods, each trade good is worth 2 resources or 2 influence instead of 1.",,,
Nanomachines,<:ralnel:1433515089646059581> Ral Nel Faction Tech - <:TechWarfare:786336653085376558>,,,<:TechWarfare:786336653085376558>,,,Thunder's Edge,**Action:** Exhaust this card to place 1 PDS on a planet you control.|**Action:** Exhaust this card to repair all of your damaged units.|**Action:** Exhaust this card and discard 1 action card to draw 1 action card.,,,
Neural Motivator,<:TechBiotic:786336544393920582>,,,,,,Twilight Imperium 4,"During the status phase, draw 2 action cards instead of 1.",,,
Neural Parasite (Firmament),<:firmament:1433650084163223655> Firmament Faction Tech - <:TechBiotic:786336544393920582>,,,<:TechBiotic:786336544393920582><:TechBiotic:786336544393920582>,,,Thunder's Edge,"At the start of the status phase, you may place 1 infantry from your reinforcements on a planet you control in your home system.|Flip this card if the Obsidian faction is in play.",,,firmament green
Neural Parasite (Obsidian),<:obsidian:1433653595307507957> Decayed Faction Tech - <:TechBiotic:786336544393920582>,,,,,,Thunder's Edge,"At the start of your turn, destroy 1 of another player's infantry in or adjacent to a system that contains your infantry.|This technology cannot be researched.",,,obsidian green
Neuroglaive,<:NaaluFlag:799977317937446953> Naalu Faction Tech - <:TechBiotic:786336544393920582>,,,<:TechBiotic:786336544393920582><:TechBiotic:786336544393920582><:TechBiotic:786336544393920582>,,,Twilight Imperium 4,"After another player activates a system that contains 1 or more of your ships, that player removes 1 token from their fleet pool and returns it to their reinforcements.",,,
Non-Euclidean Shielding,<:LetnevFlag:799976459325407243> Barony Faction Tech - <:TechWarfare:786336653085376558>,,,<:TechWarfare:786336653085376558><:TechWarfare:786336653085376558>,,,Twilight Imperium 4,"When 1 of your units uses _Sustain Damage_, cancel 2 hits instead of 1.",,,nes
Nullification Field,<:XxchaFlag:799978104940003328> Xxcha Faction Tech - <:TechCybernetic:786336610014724127>,,,<:TechCybernetic:786336610014724127><:TechCybernetic:786336610014724127>,,,Twilight Imperium 4,"After another player activates a system that contains 1 or more of your ships, you may exhaust this card and spend 1 token from your strategy pool; immediately end that player's turn.",,,null field
PDS II,Unit Upgrade,,,<:TechCybernetic:786336610014724127><:TechWarfare:786336653085376558>,,,Twilight Imperium 4,"You may use this unit's _Space Cannon_ against ships that are adjacent to this unit's systems.|_Planetary Shield_, _Space Cannon 5_",,,pds 2
Planesplitter (Firmament),<:firmament:1433650084163223655> Firmament Faction Tech - <:TechCybernetic:786336610014724127>,,,<:TechCybernetic:786336610014724127><:TechCybernetic:786336610014724127>,,,Thunder's Edge,"When you gain this card, put The Fracture into play.|Flip this card if the Obsidian faction is in play.",,,firmament yellow
Planesplitter (Obsidian),<:obsidian:1433653595307507957> Decayed Faction Tech - <:TechCybernetic:786336610014724127>,,,,,,Thunder's Edge,"At the start of your strategic actions, you may move an ingress token into a system that contains or is adjacent to your units.|This technology cannot be researched.",,,obsidian yellow
Plasma Scoring,<:TechWarfare:786336653085376558>,,,,,,Twilight Imperium 4,"When 1 or more of your units use _Bombardment_ or _Space Cannon_, 1 of those units may roll 1 additional die.",,,ps
Predictive Intelligence,<:TechCybernetic:786336610014724127>,,,<:TechCybernetic:786336610014724127>,,,Prophecy of Kings,"At the end of your turn, you may exhaust this card to redistribute your command tokens.|When you cast votes during the agenda phase, you may cast 3 additional votes; if you do, and the outcome you voted for is not resolved, exhaust this card.",,,pi
Pre-fab Arcologies,<:NaazRokhaNRAFlag:799977386720231434> Naaz-Rokha Faction Tech - <:TechBiotic:786336544393920582>,,,<:TechBiotic:786336544393920582><:TechBiotic:786336544393920582><:TechBiotic:786336544393920582>,,,Prophecy of Kings,"After you explore a planet, ready that planet.",,,"prefab arcologies, prefab, pre fab arcologies"
Production Biomes,<:HacanFlag:799976797784768513> Hacan Faction Tech - <:TechBiotic:786336544393920582>,,,<:TechBiotic:786336544393920582><:TechBiotic:786336544393920582>,,,Twilight Imperium 4,**Action:** Exhaust this card and spend 1 token from your strategy pool to gain 4 trade goods and choose 1 other player; that player gains 2 trade goods.,,,
Prototype War Sun II,<:MuaatFlag:799977247501975619> Muaat Faction Tech - Unit Upgrade,,,<:TechCybernetic:786336610014724127><:TechWarfare:786336653085376558><:TechWarfare:786336653085376558><:TechWarfare:786336653085376558>,,,Twilight Imperium 4,"**Cost: 10, Combat: 3 (x3), Move: 3, Capacity: 6**|Other player's units in this system lose _Planetary Shield_.|_Sustain Damage_, _Bombardment 3 (x3)_",,,"pws2, pws ii, pws 2"
Proxima Targeting VI,<:bastion:1433554235500400751> Bastion Faction Tech - <:TechWarfare:786336653085376558>,,,<:TechWarfare:786336653085376558>,,,Thunder's Edge,"Cancel 1 hit produced by _Bombardment_ rolls made against your ground forces for each of your galvanized units present.|At the start of a round of ground combat you may resolve _Bombardment 8 (x3)_ against your opponent's ground forces; if you do, make an identical roll against your own ground forces.",,,
Psychoarchaeology,<:TechBiotic:786336544393920582>,,,,,,Prophecy of Kings,"You can use technology specialties on planets you control without exhausting them, even if those planets are exhausted.|During the action phase, you can exhaust planets you control that have technology specialties to gain 1 trade good.",,,
Quantum Datahub Node,<:HacanFlag:799976797784768513> Hacan Faction Tech - <:TechCybernetic:786336610014724127>,,,<:TechCybernetic:786336610014724127><:TechCybernetic:786336610014724127><:TechCybernetic:786336610014724127>,,,Twilight Imperium 4,"At the end of the strategy phase, you may spend 1 token from your strategy pool give another player 3 trade goods. If you do, give 1 of your strategy cards to that player and take 1 of their strategy cards.",,,qdn
Radical Advancement,<:deepwrought:1433537768541130773> Deepwrought Faction Tech - <:TechBiotic:786336544393920582>,,,<:TechBiotic:786336544393920582>,,,Thunder's Edge,"At the start of the status phase, you may replace one of your non-unit upgrade technologies with a technology of the same color that has exactly 1 more prerequisite.",,,
Salvage Operations,<:MentakFlag:799977177000574986> Mentak Faction Tech - <:TechCybernetic:786336610014724127>,,,<:TechCybernetic:786336610014724127><:TechCybernetic:786336610014724127>,,,Twilight Imperium 4,"After you win or lose a space combat, gain 1 trade good; if you won the combat, you may also produce 1 ship of any type that was destroyed during that combat.",,,
Sarween Tools,<:TechCybernetic:786336610014724127>,,,,,,Twilight Imperium 4,"When 1 or more of your units use _Production_, reduce the combined cost of the produced units by 1.",,,
Saturn Engine II,<:UlFlag:799977899624235008> Ul Faction Tech - Unit Upgrade,,,<:TechBiotic:786336544393920582><:TechCybernetic:786336610014724127><:TechWarfare:786336653085376558>,,,Prophecy of Kings,"**Cost: 2, Combat: 6, Move: 3, Capacity: 2**|_Sustain Damage_",,,"saturn engine 2, se ii, se 2, se2"
Scanlink Drone Network,<:TechCybernetic:786336610014724127>,,,,,,Prophecy of Kings,"When you activate a system, you may explore 1 planet in that system that contains 1 or more of your units.",,,sdn
Self-Assembly Routines,<:TechWarfare:786336653085376558>,,,<:TechWarfare:786336653085376558>,,,Prophecy of Kings,"After 1 or more of your units use _Production_, you may exhaust this card to place 1 mech from your reinforcements on a planet you control in that system.|After 1 of your mechs is destroyed, gain 1 trade good.",,,"sar, self assembly routines, self assembly"
Sling Relay,<:TechPropulsion:786336467832012821>,,,<:TechPropulsion:786336467832012821>,,,Prophecy of Kings,**Action:** Exhaust this card to produce 1 ship in any system that contains 1 of your space docks.,,,
Space Dock II,Unit Upgrade,,,<:TechCybernetic:786336610014724127><:TechCybernetic:786336610014724127>,,,Twilight Imperium 4,This unit's _Production_ value is equal to 4 more than the resource value of this planet.|Up to 3 fighters in this system do not count against your ships' capacity.|_Production X_,,,"sd2, space dock 2"
Spatial Conduit Cylinder,<:JolNarFlag:799976866643050506> Jol-Nar Faction Tech - <:TechPropulsion:786336467832012821>,,,<:TechPropulsion:786336467832012821><:TechPropulsion:786336467832012821>,,,Twilight Imperium 4,You may exhaust this card after you activate a system that contains 1 or more of your units; that system is adjacent to all systems that contain 1 or more of your units during this activation.,,,scc
Spec Ops II,<:SolFlag:799977825205616661> Sol Faction Tech - Unit Upgrade,,,<:TechBiotic:786336544393920582><:TechBiotic:786336544393920582>,,,Twilight Imperium 4,"**Cost: 1 (x2), Combat: 6**|After this unit is destroyed, roll 1 die. If the result is 5 or greater, place the unit on this card. At the start of the next turn, place each unit that is on this card on a planet you control in your home system.",,"If you do not control a planet in your home system at the start of your next turn, the unit is returned to your reinforcements.",spec ops 2
Strike Wing Alpha II,<:ArgentFlag:799976364152193044> Argent Faction Tech - Unit Upgrade,,,<:TechWarfare:786336653085376558><:TechWarfare:786336653085376558>,,,Prophecy of Kings,"**Cost: 1, Combat: 7, Move: 2, Capacity: 1**|When this unit uses _Anti-Fighter Barrage_, each result of 9 or 10 also destroys 1 of your opponent's infantry in the space area of the active system.|_Anti-Fighter Barrage 6 (x3)_",,,"swa ii, swa 2, strike wing alpha 2"
Subatomic Splicer,<:crimson:1433515401139978250> Rebellion Faction Tech - <:TechCybernetic:786336610014724127>,,,<:TechCybernetic:786336610014724127>,,,Thunder's Edge,"When one of your ships is destroyed, you may produce a ship of the same type at a space dock in your home system.",,,
Supercharge,<:NaazRokhaNRAFlag:799977386720231434> Naaz-Rokha Faction Tech - <:TechWarfare:786336653085376558>,,,<:TechWarfare:786336653085376558>,,,Prophecy of Kings,"At the start of a combat round, you may exhaust this card to apply +1 to the result of each of your unit's combat rolls during this combat round.",,,super charge
Super-Dreadnought II,<:L1Z1XFL4G:799976965813698600> L1Z1X Faction Tech - Unit Upgrade,,,<:TechPropulsion:786336467832012821><:TechPropulsion:786336467832012821><:TechCybernetic:786336610014724127>,,,Twilight Imperium 4,"**Cost: 4, Combat: 4, Move: 2, Capacity: 2**|This unit cannot be destroyed by ""Direct Hit"" action cards.|_Sustain Damage_, _Bombardment 4_",,,"superdread 2, superdreadnought 2, superdread ii, superdreadnought ii, super dreadnought 2, super dreadnought ii"
Temporal Command Suite,<:NomadFlag:799977591380901888> Nomad Faction Tech - <:TechCybernetic:786336610014724127>,,,<:TechCybernetic:786336610014724127>,,,Prophecy of Kings,"After any player's agent becomes exhausted, you may exhaust this card to ready that agent; if you ready another player's agent, you may perform a transaction with that player.",,,
Transit Diodes,<:TechCybernetic:786336610014724127>,,,<:TechCybernetic:786336610014724127><:TechCybernetic:786336610014724127>,,,Twilight Imperium 4,You may exhaust this card at the start of your turn during the action phase; remove up to 4 of your ground forces from the game board and place them on 1 or more planets you control.,,,
Transparasteel Plating,<:YssarilFlag:799978263409459200> Yssaril Faction Tech - <:TechBiotic:786336544393920582>,,,<:TechBiotic:786336544393920582>,,,Twilight Imperium 4,"During your turn of the action phase, players that have passed cannot play action cards.",,,
Valefar Assimilator X,<:NekroFlag:799977517473464340> Nekro Faction Tech,,,,,,Twilight Imperium 4,"When you would gain another player's technology using 1 of your faction abilities, you may place the ""X"" assimilator token on a faction technology owned by that player instead. While that token is on a technology, this card gains that technology's text. You cannot place an assimilator token on a technology that already has an assimilator token.",,,
Valefar Assimilator Y,<:NekroFlag:799977517473464340> Nekro Faction Tech,,,,,,Twilight Imperium 4,"When you would gain another player's technology using 1 of your faction abilities, you may place the ""Y"" assimilator token on a faction technology owned by that player instead. While that token is on a technology, this card gains that technology's text. You cannot place an assimilator token on a technology that already has an assimilator token.",,,
Valkyrie Particle Weave,<:SardakkNorrPizzaBoyFlag:799977732058382336> N'orr Faction Tech - <:TechWarfare:786336653085376558>,,,<:TechWarfare:786336653085376558><:TechWarfare:786336653085376558>,,,Twilight Imperium 4,"After making combat rolls during a round of ground combat, if your opponent produced 1 or more hits, you produce 1 additional hit.",,,vpw
Voidwatch,<:EmpyreanFlag:799976612216176661> Empyrean Faction Tech - <:TechBiotic:786336544393920582>,,,<:TechBiotic:786336544393920582>,,,Prophecy of Kings,"After a player moves ships into a system that contains 1 or more of your units, they must give you 1 promissory note from their hand, if able.",,,void watch
