Name,Type,Classification,Res_Inf,Prerequisites,Subtitle,Quantity,Source,Rules Text,Flavour Text,Notes,Aliases
Freelancers,Cultural,,,,,3,,You may produce 1 unit in this system; you may spend influence as if it were resources to produce this unit.,"1. As part of the annexation agreement, local artisans would be well paid to lay the groundwork for military installations in the newly acquired territories.|2. Overseer Klix was known for hiring hundreds of freelancers and then ""forgetting"" to pay them once the bulk of the work was complete.|3. The Vexis Howlers were well-equiped with transports, powered armor, and even logistical support - everything a fledgling outpost needed to survive.",,
Functioning Base,Industrial,,,,,4,,"You may gain 1 commodity, or you may spend 1 trade good or 1 commodity to draw 1 action card.","1. The Imperial Survey Corp outpost had been abandoned since the Twilight Wars, but the facilities had been built to last for millennia.|2. The local defense forces abandoned their fortress as the first troop transports made planetfall, leaving it open to occupation.|3. The orbital distribution station proved easy to integrate into the fleet's growing logistical operation.|4. ""Yes commander, the base appears completely abandoned. No sign of what happened to the garrison.""",,
Gamma Relay,Frontier,,,,,1,,"Place a gamma wormhole token in this system. Then, purge this card.",Old spacers would tell stories of a black gateway in the deep space beyond the outer Oort Cloud.,,
Gamma Wormhole,Cultural,,,,,1,,"Place a gamma wormhole token in this system. Then, purge this card.","The gravic sensors howled a warning. Ahead of the ship was a ring of twisted starlight, surrounding a sphere of utter darkness.",,
Hazardous Relic Fragment,Hazardous,,,,,7,,Action: Purge 3 of your hazardous relic fragments to gain 1 relic.,,,"hazardous fragment, red fragment, red relic fragment"
Industrial Relic Fragment,Industrial,,,,,5,,Action: Purge 3 of your industrial relic fragments to gain 1 relic.,,,"industrial fragment, green fragment, green relic fragment"
Ion Storm,Frontier,,,,,1,,"Place the ion storm token in this system with either side faceup. Then, place this card in the common play area.|At the end of the ""Move Ships"" or ""Retreat"" substep of a tactical action during which 1 or more of your ships use the ion storm wormhole, flip the ion storm token to its opposing side.",,,
Lazax Survivors,Hazardous,,,,,1,,Attach: This planet's resource value is increased by 1 and its influence value is increased by 2.,,,
Local Fabricators,Industrial,,,,,4,,"You may gain 1 commodity, or you may spend 1 trade good or 1 commodity to place 1 mech from your reinforcements on this planet.","1. Edict 281: All indigenous production facilities are placed under control of the occupational authorities until further notice.| 2. ""These people's autofactories can turn out a new starfighter in less time than it takes me to order it!""|3. Through sub-standard, the locally produced munitions were enough to turn the tide of the war.|4. Within months, bulk transports were arriving from the homeworld, reviving the local economy.",,
Lost Crew,Frontier,,,,,2,,Draw 2 action cards.,"1. ""Mayday, mayday..this is the free trader Hrothgar...losing pressure fast...abandoning ship...Mayday...""|2. Only two survivors were found aboard the derelict, and they had a harrowing tale to tell their saviors.",,
Mercenary Outfit,Cultural,,,,,3,,You may place 1 infantry from your reinforcements on this planet.,"1. ""My mates and I used to be 4th Air Legion, but we figured we could make more money working freelance.""|2. ""Morse's Marauders are the most affordable soldiers of fortune on-planet. And trust me, you get exactly what you pay for.""|3. The bar was full of scarred and dirty individuals from a dozen different species. But each one had a weapon, and looked completely comfortable with it.",,
Merchant Station,Frontier,,,,,2,,"You may replenish your commodities, or you may convert your commodities to trade goods.","1. The deep space freeports tend to be infamous dens of criminals, but also valuable nodes in the interplanetary trade networks.|2. ""Unidentified vessel, this if Freeport Canopus. State your intentions before approaching.""",,
Mining World,Hazardous,,,,,1,,Attach: This planet's resource value is increased by 2.,,,
Mirage,Frontier,,,,,1,,"Place the Mirage planet token in this system.|Gain the Mirage planet card and ready it.|Then, purge this card.","The star wasn't supposed to have a habitable planet, but one lay directly in the cruiser's path. And a cloud of starfighters was rising from the world's surface to greet it.",,
Paradise World,Cultural,,,,,1,,Attach: This planet's influence value is increased by 2.,,,
Propulsion Research Facility,Industrial,,,,,1,,"Attach: This planet has a blue technology specialty; if this planet already has a technology specialty, this planet's resource and influence values are each increased by 1 instead.",,,"blue skip, blue tech skip"
Rich World,Hazardous,,,,,1,,Attach: This planet's resource value is increased by 1.,,,
Tomb of Emphidia,Cultural,,,,,1,,"Attach: This planet's influence value is increased by 1.|If the player who has the ""Crown of Emphidia"" relic has control of this planet, they can use that relic to gain 1 VP.",,,
Unknown Relic Fragment,Frontier,,,,,3,,The card counts as a relic fragment of any type.,,,"wild fragment, grey fragment, grey relic fragment, gray fragment, gray relic fragment"
Volatile Fuel Source,Hazardous,,,,,3,,"If you have at least 1 mech on this planet, or if you remove 1 infantry from this planet, gain 1 command token.","1. It turned out that the continuous lightning storms were an unlimited source of power, which was little consolation to those assigned to build the collection towers.|2. Only by using retrofitted Scavenger walkers could they mine the radioactive Nyx crystals safely.|3. ""WIth the extra fuel refined from the plasma clouds, our fleet can continue operations for months.""",,
Warfare Research Facility,Hazardous,,,,,1,,"Attach: This planet has a red technology specialty; if this planet already has a technology specialty, this planet's resource and influence values are each increased by 1 instead.",,,"red skip, red tech skip"
